Comment,Designator,Footprint,LCSC,Quantity
20k,R34,R_0201_0603Metric,C105575,1
100k,"R23,R6",R_0201_0603Metric,C106224,2
ICM-20600,U3,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,C124140,1
DRV8835,U4,DRV8835,C129328,1
0.1u,"C16,C21,C22,C23",C_0402_1005Metric,C133086,4
4.7k,R33,R_0201_0603Metric,C138135,1
IRFML8244,Q7,SOT-23,C143945,1
1u,"C17,C18,C24,C25",C_0402_1005Metric,C14445,4
15k,R8,R_0402_1005Metric,C144795,1
0.1u,"C1,C10,C11,C12,C13,C14,C19,C20,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C160831,14
MA730,"U2,U6",QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,C161798,2
BCR421UW6-7,"U7,U8",SOT-23-6,C194382,2
47u,"L1,L2",L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C223165,2
4.7u,C3,C_0402_1005Metric,C23733,1
10k,"R1,R10,R11,R2,R22,R3,R30,R31,R32",R_0201_0603Metric,C2479090,9
IRLML6402,Q2,SOT-23,C2593,1
3.3k,"R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R9",R_0201_0603Metric,C274874,11
6.8k,R7,R_0201_0603Metric,C274877,1
1.5k,"R24,R26,R28,R4",R_0402_1005Metric,C281775,4
LED10,"D11,D6",LED_0402_1005Metric,C2852592,2
LED,"D1,D3,D8",LED_0402_1005Metric,C2853065,3
8.2,"R35,R36",R_0402_1005Metric,C309552,2
SMT-0440,SP1,SMT-0440-T-HT-R,C3812225,1
47u,C15,C_0603_1608Metric,C3848273,1
TLV75733PDBV,U5,SOT-23-5,C485517,1
2.2u,C2,C_0402_1005Metric,C521077,1
BSS138,Q3,SOT-23,C52895,1
LED3,"D4,D9",LED_0402_1005Metric,C5875733,2
LED9,"D10,D5",LED_0402_1005Metric,C5875753,2
STM32F411CEUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C60420,1
10k,"R25,R27,R29,R5",R_0402_1005Metric,C60489,4
TVAF06-A020B-R,SW1,TVAF06-A020B-R,,1
OSI5FU3A11C,D12,OSI5FU3A11C,,1
OSI5FU3A11C,D14,OSI5FU3A11C,,1
LED6,D7,LED_0402_1005Metric,,1
OSI5FU3A11C,D15,OSI5FU3A11C,,1
OP505A,Q1,LTR-209,,1
OSI5FU3A11C,D13,OSI5FU3A11C,,1
EG1215AA,SW2,EG1215AA,,1
LED1,D2,LED_0402_1005Metric,,1
enc_slave,J2,enc_board,,1
Conn_ARM_JTAG_SWD_10,J8,PinHeader_2x05_P1.27mm_Vertical,,1
OP505A,Q4,LTR-209,,1
OP505A,Q5,LTR-209,,1
Battery,J5,PinSocket_1x02_P1.27mm_Vertical,,1
Conn_01x02,J9,PinHeader_1x02_P1.00mm_Vertical,,1
OP505A,Q6,LTR-209,,1
motor_R,J4,PinHeader_1x02_P1.00mm_Vertical,,1
motor_L,J3,PinHeader_1x02_P1.00mm_Vertical,,1
TVAF06-A020B-R,SW3,TVAF06-A020B-R,,1
enc_host,J1,enc_fp,,1
enc_slave,J7,enc_board,,1
enc_host,J6,enc_fp,,1
