Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0201_0603Metric,142.660002,-85.8,180.0,top
C10,0.1u,C_0201_0603Metric,164.045,-99.3,0.0,top
C11,0.1u,C_0201_0603Metric,165.524999,-99.306001,180.0,top
C12,0.1u,C_0201_0603Metric,166.929999,-96.956001,-90.0,top
C13,0.1u,C_0201_0603Metric,140.875,-99.425,180.0,top
C14,0.1u,C_0201_0603Metric,143.290001,-100.475,180.0,top
C15,47u,C_0603_1608Metric,142.85,-101.4,180.0,top
C16,0.1u,C_0402_1005Metric,191.05,-95.319999,90.0,top
C17,1u,C_0402_1005Metric,152.675,-105.4375,90.0,top
C18,1u,C_0402_1005Metric,152.655,-103.5375,-90.0,top
C19,0.1u,C_0201_0603Metric,164.637499,-80.387501,-90.0,top
C2,2.2u,C_0402_1005Metric,161.04927,-97.12786,45.0,top
C20,0.1u,C_0201_0603Metric,144.750712,-109.875,180.0,top
C21,0.1u,C_0402_1005Metric,191.027124,-99.36634,-90.0,top
C22,0.1u,C_0402_1005Metric,179.66,-87.775002,0.0,top
C23,0.1u,C_0402_1005Metric,179.689999,-106.954999,0.0,top
C24,1u,C_0402_1005Metric,177.875,-82.625,180.0,top
C25,1u,C_0402_1005Metric,190.08,-92.349999,180.0,top
C3,4.7u,C_0402_1005Metric,149.155734,-96.265191,135.0,top
C4,0.1u,C_0201_0603Metric,149.903145,-95.755361,135.0,top
C5,0.1u,C_0201_0603Metric,160.752286,-96.18741,-135.0,top
C6,0.1u,C_0201_0603Metric,156.872037,-89.825923,-45.0,top
C7,0.1u,C_0201_0603Metric,150.318925,-93.680714,45.0,top
C8,0.1u,C_0201_0603Metric,152.575,-99.169667,135.0,top
C9,0.1u,C_0201_0603Metric,159.424998,-114.392498,90.0,top
D1,LED,LED_0402_1005Metric,135.575,-107.775,0.0,top
D10,LED9,LED_0402_1005Metric,134.61,-103.675,0.0,top
D11,LED10,LED_0402_1005Metric,134.62,-105.175,0.0,top
D12,OSI5FU3A11C,OSI5FU3A11C,179.635688,-80.990167,-85.0,top
D13,OSI5FU3A11C,OSI5FU3A11C,180.2,-113.825,-95.0,top
D14,OSI5FU3A11C,OSI5FU3A11C,191.261439,-91.533169,-40.0,top
D15,OSI5FU3A11C,OSI5FU3A11C,191.352124,-102.11634,-140.0,top
D2,LED1,LED_0402_1005Metric,134.675,-89.575,0.0,top
D3,LED2,LED_0402_1005Metric,134.65,-91.05,0.0,top
D4,LED3,LED_0402_1005Metric,134.638,-92.55,0.0,top
D5,LED4,LED_0402_1005Metric,134.638,-94.05,0.0,top
D6,LED5,LED_0402_1005Metric,134.64,-95.525,0.0,top
D7,LED6,LED_0402_1005Metric,134.592501,-99.250001,0.0,top
D8,LED7,LED_0402_1005Metric,134.602499,-100.75,0.0,top
D9,LED8,LED_0402_1005Metric,134.6,-102.2,0.0,top
J1,enc_host,enc_fp,164.6746,-104.4,0.0,top
J2,enc_slave,enc_board,162.175,-120.125,180.0,top
J3,motor_L,PinHeader_1x02_P1.00mm_Vertical,146.25,-101.325,0.0,top
J4,motor_R,PinHeader_1x02_P1.00mm_Vertical,146.125,-93.2,0.0,top
J5,Battery,PinSocket_1x02_P1.27mm_Vertical,149.85,-106.214999,180.0,top
J6,enc_host,enc_fp,164.5754,-90.449999,180.0,top
J7,enc_slave,enc_board,162.175,-74.725,0.0,top
J8,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical,147.7,-81.99,-90.0,top
J9,Conn_01x02,PinHeader_1x02_P1.00mm_Vertical,175.0,-110.75,0.0,top
L1,47u,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,148.225,-101.35,-90.0,top
L2,47u,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,148.1,-93.25,90.0,top
Q1,OP505A,LTR-209,194.136439,-93.858169,-40.0,top
Q2,IRLML6402,SOT-23,146.575,-105.962499,90.0,top
Q3,BSS138,SOT-23,175.88,-85.224999,90.0,top
Q4,OP505A,LTR-209,194.113562,-99.73317,-140.0,top
Q5,OP505A,LTR-209,180.091032,-84.697751,-85.0,top
Q6,OP505A,LTR-209,180.544656,-110.157584,-95.0,top
Q7,IRFML8244,SOT-23,174.087501,-114.224999,180.0,top
R1,10k,R_0201_0603Metric,151.075001,-91.544668,-45.0,top
R10,10k,R_0201_0603Metric,161.985,-81.937501,0.0,top
R11,10k,R_0201_0603Metric,163.55,-76.7625,180.0,top
R12,3.3k,R_0201_0603Metric,136.44,-89.575,180.0,top
R13,3.3k,R_0201_0603Metric,136.392,-91.05,180.0,top
R14,3.3k,R_0201_0603Metric,136.416,-92.55,180.0,top
R15,3.3k,R_0201_0603Metric,136.416,-94.05,180.0,top
R16,3.3k,R_0201_0603Metric,136.451,-95.516001,180.0,top
R17,3.3k,R_0201_0603Metric,136.527501,-99.250002,180.0,top
R18,3.3k,R_0201_0603Metric,136.522498,-100.75,180.0,top
R19,3.3k,R_0201_0603Metric,136.52,-102.200001,180.0,top
R2,10k,R_0201_0603Metric,162.14,-112.867502,180.0,top
R20,3.3k,R_0201_0603Metric,136.52,-103.675,180.0,top
R21,3.3k,R_0201_0603Metric,136.53,-105.175,180.0,top
R22,10k,R_0201_0603Metric,144.75,-109.020709,0.0,top
R23,100k,R_0201_0603Metric,175.23,-87.65,0.0,top
R24,1.5k,R_0402_1005Metric,192.077124,-99.36634,90.0,top
R25,10k,R_0402_1005Metric,191.567124,-97.86634,0.0,top
R26,1.5k,R_0402_1005Metric,179.635,-86.72,180.0,top
R27,10k,R_0402_1005Metric,178.14,-87.250002,90.0,top
R28,1.5k,R_0402_1005Metric,179.665,-108.03,180.0,top
R29,10k,R_0402_1005Metric,178.164999,-107.514999,-90.0,top
R3,10k,R_0201_0603Metric,159.525,-116.5,90.0,top
R30,10k,R_0201_0603Metric,145.505,-83.94,180.0,top
R31,10k,R_0201_0603Metric,147.895,-83.92,0.0,top
R32,10k,R_0201_0603Metric,149.77,-83.91,180.0,top
R33,4.7k,R_0201_0603Metric,176.512502,-115.499998,90.0,top
R34,20k,R_0201_0603Metric,176.512502,-113.579998,90.0,top
R35,8.2,R_0402_1005Metric,189.04,-105.925,90.0,top
R36,8.2,R_0402_1005Metric,189.0,-87.95,90.0,top
R4,1.5k,R_0402_1005Metric,192.1,-95.335,-90.0,top
R5,10k,R_0402_1005Metric,191.575,-96.835,0.0,top
R6,100k,R_0201_0603Metric,149.472499,-108.597501,180.0,top
R7,6.8k,R_0201_0603Metric,150.77,-102.634997,0.0,top
R8,15k,R_0402_1005Metric,150.575,-101.75,180.0,top
R9,3.3k,R_0201_0603Metric,137.445,-107.775,180.0,top
SP1,SMT-0440,SMT-0440-T-HT-R,174.739499,-80.625,180.0,top
SW1,TVAF06-A020B-R,TVAF06-A020B-R,140.75,-83.8,0.0,top
SW2,EG1215AA,EG1215AA,148.375,-111.6132,0.0,top
SW3,TVAF06-A020B-R,TVAF06-A020B-R,140.8,-110.85,0.0,top
U1,STM32F411CEUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,155.525,-94.944669,45.0,top
U2,MA730,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,162.075,-115.45,90.0,top
U3,ICM-20600,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,164.675,-97.4,0.0,top
U4,DRV8835,DRV8835,142.399999,-97.375,90.0,top
U5,TLV75733PDBV,SOT-23-5,154.95,-104.7375,90.0,top
U6,MA730,QFN-16-1EP_3x3mm_P0.5mm_EP1.75x1.75mm,162.05,-79.3125,-90.0,top
U7,BCR421UW6-7,SOT-23-6,186.365,-106.35,0.0,top
U8,BCR421UW6-7,SOT-23-6,186.35,-88.4,0.0,top
